Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Vicinity,Location,District
0,Bärengasse,ChIJXT485wAKkEcRmYgz1gFYLGA,47.37028249999999,8.5387167,4.5,535,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 25, Zürich",Bahnhofstrasse 25, Zürich
1,N-68,ChIJf9rQEaigmkcRLQFACZtEPhc,47.375648,8.5441121,4.0,391,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Niederdorfstrasse 68, Zürich",Niederdorfstrasse 68, Zürich
2,Zeughauskeller,ChIJX7fB6wAKkEcRhpTedk8sztg,47.3704208,8.5399742,4.4,9195,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 28A, Zürich",Bahnhofstrasse 28A, Zürich
3,Coop Restaurant Zürich St. Annahof,ChIJgcBmwAYKkEcRnuVcVKVsDYY,47.3730091,8.538126,4.2,1013,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 57, Zürich",Bahnhofstrasse 57, Zürich
4,Wolfbach,ChIJ68Be562gmkcRamHPMmoGRAg,47.37029219999999,8.5522824,4.6,187,"['restaurant', 'food', 'point_of_interest', 'establishment']","Wolfbachstrasse 35, Zürich",Wolfbachstrasse 35, Zürich
5,La Rôtisserie,ChIJA4wBqwAKkEcR1Y1kaDLt-H8,47.3711107,8.5417977,4.5,251,"['restaurant', 'food', 'point_of_interest', 'establishment']","Weinpl. 2, Zürich",Weinpl. 2, Zürich
6,Bauernschänke,ChIJiZuJn6mgmkcRaGWEH7EljDw,47.3724348,8.5451847,4.5,449,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rindermarkt 24, Zürich",Rindermarkt 24, Zürich
7,Sternen Grill + Sternen Grill Restaurant im oberen Stock,ChIJs1urRqugmkcRA1ulmr2Q5wk,47.36732199999999,8.545594,4.4,4129,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 22, Zürich",Theaterstrasse 22, Zürich
8,Bistro Grill am See,ChIJe1Stj_uhmkcRVzrDhtey1Mo,47.3668922,8.5443304,3.9,23,"['restaurant', 'food', 'point_of_interest', 'establishment']","Schiffstation am, Tram Bürklipl., Zürich",Schiffstation am, Tram Bürklipl.
9,Restaurant Sopra,ChIJI58lMdELkEcRAMy_r915lYA,47.3742941,8.5374555,4.0,33,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seidengasse 1, Zürich",Seidengasse 1, Zürich
10,Madrid,ChIJVyhQpamgmkcRbttRg83N9a0,47.3732415,8.5446599,4.4,543,"['restaurant', 'food', 'point_of_interest', 'establishment']","Froschaugasse 15, Zürich",Froschaugasse 15, Zürich
11,Heugümper,ChIJa0sAlQAKkEcRN0KXUTVHiYc,47.3702704,8.5401106,4.7,308,"['restaurant', 'food', 'point_of_interest', 'establishment']","Waaggasse 4, Zürich",Waaggasse 4, Zürich
12,Veltlinerkeller,ChIJO1F5rwAKkEcRJ7H4nRupWr4,47.37096469999999,8.5411972,4.7,220,"['restaurant', 'food', 'point_of_interest', 'establishment']","Schlüsselgasse 8, Zürich",Schlüsselgasse 8, Zürich
13,Lindenhofkeller Restaurant,ChIJr0M7RwcKkEcR58OcvIT2Gls,47.3724745,8.5407838,4.6,36,"['restaurant', 'food', 'point_of_interest', 'establishment']","Pfalzgasse 4, Zürich",Pfalzgasse 4, Zürich
14,Rosaly's Restaurant & Bar,ChIJy1roQqugmkcRBeCV-hePRf4,47.367419,8.545874,4.5,616,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Freieckgasse 7, Zürich",Freieckgasse 7, Zürich
15,Restaurant Kiosk,ChIJFTaCRVCnmkcRSfu6Z_63jxs,47.3581505,8.5478983,4.0,868,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldquai 51, Zürich",Seefeldquai 51, Zürich
16,Coop Restaurant Zürich Bellevue,ChIJt3cvW6ugmkcR8lFcEpjr-UU,47.3673456,8.5460155,4.2,229,"['restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 18, Zürich",Theaterstrasse 18, Zürich
17,Storchen,ChIJJ41DSAqhmkcR-wN6XRl2uEI,47.3711997,8.5418832,4.4,17,"['restaurant', 'food', 'point_of_interest', 'establishment']","Weinpl. 2, Zürich",Weinpl. 2, Zürich
18,Pepito,ChIJBSHpClinmkcRZ0vU2H2FGog,47.36593070000001,8.5467687,3.7,25,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 9, Zürich",Theaterstrasse 9, Zürich
