,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Vicinity
0,Bärengasse,ChIJXT485wAKkEcRmYgz1gFYLGA,47.37028249999999,8.5387167,4.5,535,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 25, Zürich"
1,N-68,ChIJf9rQEaigmkcRLQFACZtEPhc,47.375648,8.5441121,4.0,391,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Niederdorfstrasse 68, Zürich"
2,Zeughauskeller,ChIJX7fB6wAKkEcRhpTedk8sztg,47.3704208,8.5399742,4.4,9183,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 28A, Zürich"
3,Coop Restaurant Zürich St. Annahof,ChIJgcBmwAYKkEcRnuVcVKVsDYY,47.3730091,8.538126,4.2,1010,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 57, Zürich"
4,Wolfbach,ChIJ68Be562gmkcRamHPMmoGRAg,47.37029219999999,8.5522824,4.6,187,"['restaurant', 'food', 'point_of_interest', 'establishment']","Wolfbachstrasse 35, Zürich"
5,La Rôtisserie,ChIJA4wBqwAKkEcR1Y1kaDLt-H8,47.3711107,8.5417977,4.5,251,"['restaurant', 'food', 'point_of_interest', 'establishment']","Weinpl. 2, Zürich"
6,Bauernschänke,ChIJiZuJn6mgmkcRaGWEH7EljDw,47.3724348,8.5451847,4.5,449,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rindermarkt 24, Zürich"
7,Sternen Grill + Sternen Grill Restaurant im oberen Stock,ChIJs1urRqugmkcRA1ulmr2Q5wk,47.36732199999999,8.545594,4.4,4126,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 22, Zürich"
8,Bistro Grill am See,ChIJe1Stj_uhmkcRVzrDhtey1Mo,47.3668922,8.5443304,3.9,23,"['restaurant', 'food', 'point_of_interest', 'establishment']","Schiffstation am, Tram Bürklipl., Zürich"
9,Restaurant Sopra,ChIJI58lMdELkEcRAMy_r915lYA,47.3742941,8.5374555,4.0,33,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seidengasse 1, Zürich"
10,Madrid,ChIJVyhQpamgmkcRbttRg83N9a0,47.3732415,8.5446599,4.4,543,"['restaurant', 'food', 'point_of_interest', 'establishment']","Froschaugasse 15, Zürich"
11,Heugümper,ChIJa0sAlQAKkEcRN0KXUTVHiYc,47.3702704,8.5401106,4.7,307,"['restaurant', 'food', 'point_of_interest', 'establishment']","Waaggasse 4, Zürich"
12,Veltlinerkeller,ChIJO1F5rwAKkEcRJ7H4nRupWr4,47.37096469999999,8.5411972,4.7,219,"['restaurant', 'food', 'point_of_interest', 'establishment']","Schlüsselgasse 8, Zürich"
13,Lindenhofkeller Restaurant,ChIJr0M7RwcKkEcR58OcvIT2Gls,47.3724745,8.5407838,4.6,35,"['restaurant', 'food', 'point_of_interest', 'establishment']","Pfalzgasse 4, Zürich"
14,Rosaly's Restaurant & Bar,ChIJy1roQqugmkcRBeCV-hePRf4,47.367419,8.545874,4.5,614,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Freieckgasse 7, Zürich"
15,Restaurant Kiosk,ChIJFTaCRVCnmkcRSfu6Z_63jxs,47.3581505,8.5478983,4.0,868,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldquai 51, Zürich"
16,Coop Restaurant Zürich Bellevue,ChIJt3cvW6ugmkcR8lFcEpjr-UU,47.3673456,8.5460155,4.2,229,"['restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 18, Zürich"
17,Storchen,ChIJJ41DSAqhmkcR-wN6XRl2uEI,47.3711997,8.5418832,4.4,17,"['restaurant', 'food', 'point_of_interest', 'establishment']","Weinpl. 2, Zürich"
18,Pepito,ChIJBSHpClinmkcRZ0vU2H2FGog,47.36593070000001,8.5467687,3.7,25,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 9, Zürich"
19,Union Diner Bellevue,ChIJ22DpdmuhmkcRNp3vx2s7akg,47.3670157,8.5462876,4.3,209,"['restaurant', 'food', 'point_of_interest', 'establishment']","St. Urbangasse 4, Zürich"
20,Restaurant Enja,ChIJuUU5wugLkEcR5NhbqJ2qVwY,47.3737258,8.5374298,4.4,118,"['restaurant', 'park', 'bar', 'food', 'point_of_interest', 'establishment']","Sihlstrasse 9, Zürich"
21,Restaurant Hirschberg,ChIJCyFlHqmgmkcR5jwW8VtbTNQ,47.3735024,8.546693399999999,4.6,121,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seilergraben 9, Zürich"
22,Max&Otto,ChIJcwrUclOnmkcRAbMGnaSv5bs,47.3641825,8.5471399,4.3,166,"['restaurant', 'food', 'point_of_interest', 'establishment']","Dufourstrasse 4, Zürich"
23,Widder Garden,ChIJhfDAJAcKkEcR59EtQQox4TQ,47.3725174,8.539818,4.5,11,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rennweg 7, Zürich"
24,tibits Bistro,ChIJGfgyljOnmkcRoOVA1-_tf1I,47.3646921,8.5476147,4.5,448,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Falkenstrasse 12, Zürich"
25,AuGust,ChIJeSToOgcKkEcRgiVTUfjVOTg,47.3723276,8.5400013,4.3,754,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rennweg 7, Zürich"
26,Neue Taverne,ChIJSetnU64LkEcR8iIrqCbvkkk,47.3720812,8.540402499999999,4.7,386,"['restaurant', 'food', 'point_of_interest', 'establishment']","Glockengasse 8, Zürich"
27,Bodega Espanola,ChIJPfdXKKqgmkcRYb15HXkViwg,47.3712679,8.544127,4.2,1077,"['liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Münstergasse 15, Zürich"
28,Trattoria Sempre,ChIJ9zpt266hmkcRMtrazHLMiGE,47.3729903,8.5436294,4.4,514,"['restaurant', 'food', 'point_of_interest', 'establishment']","Niederdorfstrasse 7, Zürich"
29,Münsterhöfli,ChIJ1f0ImQAKkEcRDt7eCVz0uV0,47.3700336,8.5403322,4.3,433,"['restaurant', 'food', 'point_of_interest', 'establishment']","Münsterhof 6, Zürich"
30,Mühlebach,ChIJzdYQfU2nmkcRCwVfynqZYls,47.363962,8.55173,4.4,182,"['restaurant', 'food', 'point_of_interest', 'establishment']","Mühlebachstrasse 43, Zürich"
31,Noon,ChIJ87r6CqugmkcRVdjd6U7kq9U,47.3686777,8.545457299999999,4.5,220,"['restaurant', 'food', 'point_of_interest', 'establishment']","Oberdorfstrasse 9, Zürich"
32,Neumünster,ChIJtU0rb0mnmkcRJKDNUwwKVPQ,47.3595784,8.5585001,4.7,71,"['restaurant', 'food', 'point_of_interest', 'establishment']","Hammerstrasse 10, Zürich"
33,Pier 7,ChIJUc8n4KqgmkcR0pKcodPKc88,47.3678233,8.5436663,4.6,176,"['restaurant', 'food', 'point_of_interest', 'establishment']","Limmatquai 7, Zürich"
34,Dialog,ChIJhbZbLKqgmkcRWjrTuenaQ_Q,47.3708614,8.544713999999999,4.2,232,"['restaurant', 'food', 'point_of_interest', 'establishment']","Münstergasse 4, Zürich"
35,KAIMUG Höschgasse,ChIJBxcLyvanmkcRnyUwFvoWdL8,47.3584622,8.5539886,3.3,4,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldstrasse 111/113, Zürich"
36,ROBIN’S little italy,ChIJT8XQFuShmkcREAcaM9pz1dY,47.3757403,8.5444532,4.1,7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Zähringerstrasse 33, Zürich"
