Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Price Level,Vicinity,Location,District
0,Wolfbach,ChIJ68Be562gmkcRamHPMmoGRAg,47.37029219999999,8.5522824,4.6,187,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Wolfbachstrasse 35, Zürich",Wolfbachstrasse 35, Zürich
1,Blockhus,ChIJ1d2JDaugmkcRvG2iNCdYZ9I,47.3681663,8.545157099999999,4.5,483,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Schifflände 4, Zürich",Schifflände 4, Zürich
2,Sternen Grill + Sternen Grill Restaurant im oberen Stock,ChIJs1urRqugmkcRA1ulmr2Q5wk,47.36732199999999,8.545594,4.4,4140,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Theaterstrasse 22, Zürich",Theaterstrasse 22, Zürich
3,Rosaly's Restaurant & Bar,ChIJy1roQqugmkcRBeCV-hePRf4,47.367419,8.545874,4.5,617,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Freieckgasse 7, Zürich",Freieckgasse 7, Zürich
4,Frida Seefeld,ChIJ7ckHt8CnmkcRxWfmOeZ2Kxk,47.3628239,8.5491981,5.0,18,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Kreuzstrasse 26, Zürich",Kreuzstrasse 26, Zürich
5,Klosbächli,ChIJUW2VObOgmkcRe2vCjgzdeGM,47.3662111,8.556763799999999,4.6,34,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Klosbachstrasse 39, Zürich",Klosbachstrasse 39, Zürich
6,Coop Restaurant Zürich Bellevue,ChIJt3cvW6ugmkcR8lFcEpjr-UU,47.3673456,8.5460155,4.2,229,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Theaterstrasse 18, Zürich",Theaterstrasse 18, Zürich
7,Pepito,ChIJBSHpClinmkcRZ0vU2H2FGog,47.36593070000001,8.5467687,3.7,25,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Theaterstrasse 9, Zürich",Theaterstrasse 9, Zürich
8,Union Diner Bellevue,ChIJ22DpdmuhmkcRNp3vx2s7akg,47.3670157,8.5462876,4.3,212,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"St. Urbangasse 4, Zürich",St. Urbangasse 4, Zürich
9,Max&Otto,ChIJcwrUclOnmkcRAbMGnaSv5bs,47.3641825,8.5471399,4.3,166,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Dufourstrasse 4, Zürich",Dufourstrasse 4, Zürich
10,Tschingg,ChIJG5sTcaugmkcRmKCHqZ3dZN4,47.3682947,8.5460417,4.2,772,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Oberdorfstrasse 2, Zürich",Oberdorfstrasse 2, Zürich
11,tibits Bistro,ChIJGfgyljOnmkcRoOVA1-_tf1I,47.3646921,8.5476147,4.4,451,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2,"Falkenstrasse 12, Zürich",Falkenstrasse 12, Zürich
12,Burgermeister Oberdorf,ChIJ3bEbdKugmkcRW6nMkWm8op8,47.3685171,8.5458839,4.1,981,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Oberdorfstrasse 8, Zürich",Oberdorfstrasse 8, Zürich
13,Kaimug,ChIJV6POMVOnmkcRu5EGkKFQrtI,47.3657322,8.548359699999999,3.2,65,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Falkenstrasse 21, Zürich",Falkenstrasse 21, Zürich
14,Mühlebach,ChIJzdYQfU2nmkcRCwVfynqZYls,47.363962,8.55173,4.4,182,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Mühlebachstrasse 43, Zürich",Mühlebachstrasse 43, Zürich
