,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Price Level,Vicinity
0,N-68,ChIJf9rQEaigmkcRLQFACZtEPhc,47.375648,8.5441121,4.0,391,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Niederdorfstrasse 68, Zürich"
1,Zeughauskeller,ChIJX7fB6wAKkEcRhpTedk8sztg,47.3704208,8.5399742,4.4,9222,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Bahnhofstrasse 28A, Zürich"
2,Coop Restaurant Hinwil Center,ChIJGS4ten-5mkcRPH5Aevh7eaM,47.3064281,8.8182944,3.9,246,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Wässeristrasse 38, Hinwil"
3,Viadukt,ChIJ83nLYxUKkEcRZjj6fpa85JQ,47.3862236,8.5221,4.4,1085,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Viaduktstrasse 69/71, Zürich"
4,Restaurant Sopra,ChIJI58lMdELkEcRAMy_r915lYA,47.3742941,8.5374555,4.0,33,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Seidengasse 1, Zürich"
5,Insider Restaurant & Bar,ChIJKzqWBSELkEcR6bWQHbntnJk,47.3768854,8.5384172,4.9,55,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Löwenstrasse 64, Zürich"
6,Restaurant Aarehuus,ChIJ-wD9tI0_kEcRrFIpz1kvBUU,47.4244292,8.165136799999999,4.4,31,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Im, Schachen, Holderbank"
7,Restaurant Pizzeria Caliente,ChIJnWKZkWaZmkcR-Bd0hIMjLpY,47.5051912,8.7098523,4.4,140,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Blumenaustrasse 24, Winterthur"
8,Restaurant GORANAC Zürich,ChIJ3wz0H7QLkEcR_WvJvViLA1A,47.41521280000001,8.546802,4.3,21,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Friesstrasse 24, Zürich"
9,Migros Restaurant,ChIJqTpb9Xg7kEcRBfv8bictzKg,47.3616928,8.0456618,4.1,216,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",2,"Binzmattweg 8, Unterentfelden"
