,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Price Level,Vicinity
0,Bärengasse,ChIJXT485wAKkEcRmYgz1gFYLGA,47.37028249999999,8.5387167,4.5,537,"['restaurant', 'food', 'point_of_interest', 'establishment']",4,"Bahnhofstrasse 25, Zürich"
1,Zeughauskeller,ChIJX7fB6wAKkEcRhpTedk8sztg,47.3704208,8.5399742,4.4,9239,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Bahnhofstrasse 28A, Zürich"
2,Coop Restaurant Zürich St. Annahof,ChIJgcBmwAYKkEcRnuVcVKVsDYY,47.3730091,8.538126,4.2,1018,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Bahnhofstrasse 57, Zürich"
3,Wirtsstube Münsterhöfli,ChIJ1f0ImQAKkEcRDt7eCVz0uV0,47.3700336,8.5403322,4.3,434,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Münsterhof 6, Zürich"
4,La Rôtisserie,ChIJA4wBqwAKkEcR1Y1kaDLt-H8,47.3711107,8.5417977,4.5,253,"['restaurant', 'food', 'point_of_interest', 'establishment']",4,"Weinpl. 2, Zürich"
5,Bauernschänke,ChIJiZuJn6mgmkcRaGWEH7EljDw,47.3724348,8.5451847,4.5,450,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Rindermarkt 24, Zürich"
6,Sternen Grill + Sternen Grill Restaurant im oberen Stock,ChIJs1urRqugmkcRA1ulmr2Q5wk,47.36732199999999,8.545594,4.4,4147,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Theaterstrasse 22, Zürich"
7,Widder Restaurant,ChIJcX3oLwcKkEcR4jedn_ymCtE,47.3722348,8.5399174,4.4,27,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Widdergasse 6, Zürich"
8,Restaurant Sopra,ChIJI58lMdELkEcRAMy_r915lYA,47.3742941,8.5374555,4.0,33,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Seidengasse 1, Zürich"
9,Madrid,ChIJVyhQpamgmkcRbttRg83N9a0,47.3732415,8.5446599,4.4,544,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Froschaugasse 15, Zürich"
10,Heugümper,ChIJa0sAlQAKkEcRN0KXUTVHiYc,47.3702704,8.5401106,4.7,309,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Waaggasse 4, Zürich"
11,Veltlinerkeller,ChIJO1F5rwAKkEcRJ7H4nRupWr4,47.37096469999999,8.5411972,4.7,224,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Schlüsselgasse 8, Zürich"
12,Lindenhofkeller Restaurant,ChIJr0M7RwcKkEcR58OcvIT2Gls,47.3724745,8.5407838,4.6,37,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Pfalzgasse 4, Zürich"
13,Rosaly's Restaurant & Bar,ChIJy1roQqugmkcRBeCV-hePRf4,47.367419,8.545874,4.5,617,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Freieckgasse 7, Zürich"
14,Coop Restaurant Zürich Bellevue,ChIJt3cvW6ugmkcR8lFcEpjr-UU,47.3673456,8.5460155,4.2,229,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Theaterstrasse 18, Zürich"
15,Union Diner Bellevue,ChIJ22DpdmuhmkcRNp3vx2s7akg,47.3670157,8.5462876,4.3,213,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"St. Urbangasse 4, Zürich"
16,Korner,ChIJST5PPAIKkEcRK8MasC5mGuA,47.3685926,8.5339415,4.2,1308,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Gartenstrasse 10, Zürich"
17,Thai Erawan,ChIJ4aq0CgEKkEcRVZyvJrN9edk,47.3694795,8.536637899999999,4.3,108,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Bärengasse 25, Zürich"
18,Widder Garden,ChIJhfDAJAcKkEcR59EtQQox4TQ,47.3725174,8.539818,4.5,11,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Rennweg 7, Zürich"
19,Tschingg,ChIJG5sTcaugmkcRmKCHqZ3dZN4,47.3682947,8.5460417,4.2,772,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Oberdorfstrasse 2, Zürich"
20,Talacker,ChIJze6A9gMKkEcRqICLh3VwWkM,47.371893,8.534785,4.0,109,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Talacker 41, Zürich"
