Restaurant,Review,Points
Zeughauskeller,"Leider wurden wir zu zweit an einen eher kleinen Vierertisch gesetzt - absolut keine Privatsphäre - obwohl praktisch alle Tische unbesetzt waren. Wir hatten für 18 Uhr reserviert und auf unseren Plätzen lag eine Karte mit 20.00 Uhr. Auf unser Nachfragen beim Kellner ob dies...bedeutet, dass wir um 20 Uhr wieder gehen müssen war seine Antwort … ja sicher. Dies war nicht wirklich eine freundliche Antwort und bewog uns dann zu gehen worauf uns der Kellner noch sagte … dies ist ihre Entscheidung! Offenbar geht so die Gastfreundschaft im Zeughauskeller - schade - aber zum Glück gibt‘s noch Restaurant wo man sich als Gast willkommen fühlt.Mehr",2.0
Zeughauskeller,"Bierkeller-Gasthaus man kann auch Erlebnisgastronomie sagen.
Reservation klappte, leider wirst Du als Paar an einen 4er Tisch verwiesen.
Gute Auswahl an CH-Speisen. Es schmeckte, obwohl die Speisen nicht genügend warm waren.  Schnelles flinkes Personal.Veronika war top.
Preise waren im Getränkebereich zu hoch .Essen normal
Muss...man erlebt haben, aber nicht jeden TagMehr",3.0
Zeughauskeller,"Obwohl volles Haus ist keine Hektik vorhanden. Freundliches Personal, schneller Service, feines Essen, zu empfehlen",5.0
Zeughauskeller,"Unkompliziert, freundlich und währschaftliche Küche. Es ist nicht das Restaurant für ein romantisches Essen, aber ideal und super praktisch für den schnellen Lunch
Ambiente: Laut, und immer geschäftig 
Preis / Leistung: gut
Zum weiterempfehlen: ja",4.0
Zeughauskeller,"Immer wieder gut.
Jedes Mal, wenn wir in Zürich sind, essen wir hier zu Mittag. Haben noch jedes Mal ohne reserviert zu haben einen Platz bekommen. Es hilft jedoch, wenn man vor 12.00 kommt. Der Service ist sehr freundlich und das Essen ausgezeichnet. Da das...Restaurant über Mittag sehr voll ist, ist der Lärmpegel sehr hoch, doch das stört nicht wirklich.Mehr",4.0
Zeughauskeller,"Bei der Reservierung wurde nichts über eine Zeitbegrenzung des Tisches gesagt, bei Ankunft jedoch schon. Daher ist die Gastfreundlichkeit hier klein geschrieben. Man kann das Essen so nicht geniessen, man wird von den Kellnern ständig unter Zeitdruck gestellt. Am Schluss wird man auf die Strasse...gestellt. Nie wieder.Mehr",1.0
Zeughauskeller,War jetzt schon zum dritten Mal hier. Die Speisenauswahl ist vielfälltig und schmecken sehr gut. Das Service-Personal ist überaus freundlich und sehr schnell. Mittags ist das Resaurant fast immer voll. Dank deren Grösse hat es aber immer noch irgend wo ein freies Plätzchen. Rundum ein...sehr gutes Restaurant.Mehr,5.0
Zeughauskeller,"Haben zu zweit „Züri Gschnäzlets“ gegessen, war wie immer sehr fein gewesen 

Tipp für Touristen: über Mittag besser einen Tisch reservieren, denn das Restaurant ist sehr gut besucht.",5.0
Zeughauskeller,"Gutes Essen, freundliches Personal und auch Preis-/Leistungsverhältnis ist ok. Man sitzt etwas eng und daher oft ein Gedränge.",5.0
Zeughauskeller,"Wir waren seit Dezember 2019 das erste Mal wieder im Zeughauskeller und waren sehr enttäuscht. Zum einen fehlte die frühere Vielfalt der Würste (angeboten werden nur noch wenige) und die einst tolle Dessertkarte (unvergessen die wunderbare Erdbeereistorte) ist jetzt nur noch ein müder Abklatsch.
Zudem...liess die Qualität der bestellten Rehschnitzel sehr zu wünschen übrig. Einzig der empfohlene spanische Crianza, die Vorspeise (Nüsslisalat Mimosa) und der nach wie vor gute Service rechtfertigen meine Punktevergabe.Mehr",2.0
